Category,Food,Amount
fruit,grape,806.4516129032259
fruit,grape,416.6666666666667
fruit,grape,6.253908692933083
fruit,grape,63.131313131313135
fruit,grape,63.131313131313135
fruit,grape,144.0922190201729
fruit,pear,277.77777777777777
fruit,pear,222.2222222222222
fruit,pear,214.13276231263384
fruit,pear,204.91803278688525
fruit,pear,191.93857965451056
fruit,pear,227.27272727272725
fruit,pear,48.007681228996645
fruit,pear,140.0560224089636
fruit,pear,184.50184501845018
fruit,pear,155.7632398753894
fruit,pear,48.007681228996645
fruit,pear,183.48623853211006
fruit,pear,102.14504596527068
fruit,pear,66.66666666666667
fruit,pear,91.74311926605503
fruit,pear,55.865921787709496
fruit,pear,55.865921787709496
fruit,pear,75.18796992481202
fruit,pear,55.865921787709496
fruit,pear,55.865921787709496
fruit,pear,55.865921787709496
fruit,pear,55.865921787709496
fruit,pear,120.48192771084338
fruit,pear,55.865921787709496
fruit,pear,55.865921787709496
fruit,pear,120.48192771084338
fruit,pear,120.48192771084338
fruit,pear,52.083333333333336
fruit,pear,75.18796992481202
fruit,kiwi,25.51020408163265
fruit,kiwi,82.50825082508251
fruit,kiwi,150.82956259426848
fruit,kiwi,103.09278350515464
fruit,kiwi,0.05865102639296188
fruit,kiwi,0.551480725748635
fruit,kiwi,6.666666666666667
fruit,kiwi,6.049606775559588
fruit,kiwi,0.2
fruit,kiwi,5.889281507656066
fruit,kiwi,0.4166666666666667
fruit,kiwi,0.5
fruit,lemon,142.85714285714286
fruit,lemon,76.92307692307693
fruit,lemon,250.0
fruit,lemon,303.030303030303
fruit,lemon,66.66666666666667
fruit,lemon,56.497175141242934
fruit,lemon,10.626992561105206
fruit,lemon,41.66666666666667
fruit,lemon,44.84304932735426
fruit,lemon,20.0
fruit,lemon,714.2857142857142
fruit,lemon,23.80952380952381
fruit,lemon,94.33962264150945
fruit,lemon,112.35955056179775
fruit,lemon,83.33333333333334
fruit,lemon,227.2727272727273
fruit,lemon,65.78947368421052
fruit,lemon,63.69426751592357
fruit,lemon,90.9090909090909
fruit,lemon,104.16666666666667
fruit,lemon,72.46376811594203
fruit,lemon,43.47826086956522
fruit,lemon,80.0
fruit,lemon,94.33962264150945
fruit,lemon,35.714285714285715
fruit,lemon,153.84615384615384
fruit,lemon,144.92753623188406
fruit,lemon,58.82352941176472
fruit,lemon,113.63636363636365
vegetable,spinach,48.007681228996645
vegetable,spinach,55.99104143337066
vegetable,spinach,30.003000300030006
vegetable,spinach,48.007681228996645
vegetable,spinach,30.003000300030006
vegetable,spinach,22.22222222222222
vegetable,spinach,208.33333333333334
vegetable,spinach,21.186440677966104
vegetable,spinach,90.00900090009
vegetable,spinach,40.0
vegetable,spinach,90.09009009009009
vegetable,spinach,50.0
vegetable,spinach,80.0
vegetable,spinach,83.33333333333334
vegetable,spinach,83.33333333333334
vegetable,spinach,54.94505494505494
vegetable,spinach,54.94505494505494
vegetable,spinach,80.64516129032258
vegetable,spinach,40.65040650406504
vegetable,spinach,34.61405330564209
vegetable,spinach,55.55555555555555
vegetable,spinach,166.66666666666666
vegetable,spinach,56.81818181818182
vegetable,spinach,77.51937984496124
vegetable,spinach,75.75757575757575
vegetable,spinach,43.66812227074236
vegetable,spinach,58.47953216374269
vegetable,spinach,116.27906976744187
vegetable,spinach,44.44444444444444
vegetable,spinach,33.333333333333336
vegetable,spinach,66.66666666666667
vegetable,spinach,57.142857142857146
vegetable,cabbage,
vegetable,lettuce,100.0
vegetable,lettuce,42.49893752656184
vegetable,lettuce,100.0
vegetable,lettuce,100.0
vegetable,brocolli,125.0
vegetable,brocolli,125.0
vegetable,brocolli,166.66666666666666
vegetable,brocolli,90.9090909090909
vegetable,brocolli,153.84615384615387
vegetable,brocolli,153.84615384615387
vegetable,brocolli,136.4256480218281
vegetable,brocolli,90.9090909090909
vegetable,brocolli,136.4256480218281
vegetable,brocolli,112.48593925759279
vegetable,brocolli,112.48593925759279
vegetable,brocolli,112.48593925759279
vegetable,brocolli,153.84615384615387
vegetable,brocolli,153.84615384615387
vegetable,brocolli,111.1111111111111
vegetable,brocolli,75.01875468867217
vegetable,brocolli,75.01875468867217
